Region;Year;Industry;Professional position;Total ;Women;Men;Gender Pay Gap
Lake Geneva;2016;Manufacturing/production of Goods;Lower management;9 112  ;8 954  ;9 196  ; 242
Lake Geneva;2016;"Water supply; sewage and waste disposal";Lower management;*;*;*;#WERT!
Lake Geneva;2016;Construction ;Lower management;7 089  ;6 645  ;7 195  ; 550
Lake Geneva;2016;SECTOR 3 SERVICES ;Lower management;8 761  ;8 077  ;9 227  ;1 150
Lake Geneva;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;7 840  ;7 581  ;7 958  ; 377
Lake Geneva;2016;Transportation and storage;Lower management;8 078 ;7 726 ;8 338 ;#WERT!
Lake Geneva;2016;Hotels and restaurants;Lower management;5 184  ;4 877  ;5 465  ; 588
Lake Geneva;2016;Information and communication;Lower management;9 869  ;8 701  ;10 159  ;1 458
Lake Geneva;2016;Financial and insurance services;Lower management;11 619  ;11 034  ;11 899  ; 865
Lake Geneva;2016;Professional, scientific and technical services;Lower management;8 948 ;8 336 ;9 225 ;#WERT!
Lake Geneva;2016;Other business services;Lower management;6 626 ;6 890 ;6 574 ;#WERT!
Lake Geneva;2016;Health and social work;Lower management;7 874  ;7 583  ;8 756  ;1 173
Lake Geneva;2016;Arts, entertainment and recreation;Lower management;8 728 ;7 744 ;9 428 ;#WERT!
Lake Geneva;2016;Other service activities Other service activities;Lower management;7 792  ;7 515 ;8 402 ;#WERT!
Lake Geneva;2016;TOTAL;Lowest management;6 976  ;6 777  ;7 080  ; 303
Lake Geneva;2016;SECTOR 2 PRODUCTION;Lowest management;7 137  ;7 203  ;7 133  ;- 70
Lake Geneva;2016;Mining and quarrying;Lowest management;*;*;*;#WERT!
Lake Geneva;2016;Manufacturing/production of Goods;Lowest management;7 522  ;7 383  ;7 539  ; 156
Lake Geneva;2016;"Water supply; sewage and waste disposal";Lowest management;*;*;*;#WERT!
Lake Geneva;2016;Construction ;Lowest management;6 740  ;6 471 ;6 762  ;#WERT!
Lake Geneva;2016;SECTOR 3 SERVICES ;Lowest management;6 900  ;6 704  ;7 040  ; 336
Lake Geneva;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;6 218  ;6 000  ;6 302  ; 302
Lake Geneva;2016;Transportation and storage;Lowest management;6 273  ;5 742 ;6 395  ;#WERT!
Lake Geneva;2016;Hotels and restaurants;Lowest management;4 820  ;4 398  ;4 960  ; 562
